MarkerID	PeelingDepth	target_x	target_y	target_z	entry_x	entry_y	entry_z	Matrix_4x4	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_z	Timestamp
marker1.33	22.46	125.34	209.63	65.11	120.02	199.67	81.07	n/a	126.32	209.99	66.09	0.17	46753	-0.5	-0.66	0.75	45717	129.4	214.83	66.76	2025-06-01T14:02:40Z
marker1.34	22.47	125.88	210.2	64.37	120.46	201.06	80.52	n/a	125.24	210.76	66.63	0.15	45839	0.29	-1.06	0.47	-1.02	129.49	214.87	66.38	2025-06-01T14:02:45Z
marker1.35	22.58	124.28	209.78	65.07	120.72	199.28	80.58	n/a	126.01	210.51	66.23	0.6	0.55	-0.07	-0.79	0.56	0.93	130.79	214.38	68.07	2025-06-01T14:02:50Z
marker1.36	45769	124.92	210.29	65.14	119.69	199.9	79.75	n/a	125.71	211.42	66.18	0.15	45717	0.05	-0.19	0.81	0.19	129.72	215.37	67.31	2025-06-01T14:02:55Z
marker1.37	45799	125.06	210.64	64.7	120.27	199.9	79.89	n/a	126.55	211.41	66.41	42005	0.86	0.24	-0.76	0.66	0.53	130.05	215.3	66.59	2025-06-01T14:03:00Z
marker1.38	45830	124.5	209.39	65.58	120.4	200.31	80.31	n/a	125.99	210.55	66.04	0.16	12420	-0.17	-1.01	0.34	0.81	129.72	214.59	67.12	2025-06-01T14:03:05Z
marker1.39	22.51	124.75	209.76	65.12	119.28	199.3	79.64	n/a	125.89	211.16	66.74	0.93	0.77	-0.11	-1.1	0.49	0.46	130.16	214.59	67.26	2025-06-01T14:03:10Z
marker1.40	22.58	124.95	210.2	65.35	119.8	200.11	80.01	n/a	126.05	210.61	66.01	0.75	21186	0.38	0.48	0.12	45748	130.09	216.09	66.6	2025-06-01T14:03:15Z
marker1.41	22.46	124.7	208.94	64.74	119.62	200.08	80.17	n/a	126.94	211.48	65.71	0.05	45658	-0.76	0.32	45901	0.37	129.14	215.68	66.94	2025-06-01T14:03:20Z
marker1.42	22.56	124.2	209.7	65.0	120.02	199.77	80.31	n/a	125.47	210.93	66.06	0.76	44197	-0.66	-1.37	41640	0.77	129.63	215.78	67.06	2025-06-01T14:03:25Z
marker1.43	22.56	125.03	211.03	65.88	119.88	200.49	80.32	n/a	126.68	210.52	66.34	45717	-0.03	-0.69	-1.62	0.37	0.96	130.75	215.04	67.81	2025-06-01T14:03:30Z
marker1.44	22.43	124.15	209.97	65.19	119.98	198.97	79.96	n/a	125.35	211.33	66.18	0.03	0.59	-0.63	-0.63	0.98	0.11	130.25	214.73	66.6	2025-06-01T14:03:35Z
marker1.45	22.49	124.48	209.72	64.4	120.98	200.02	79.65	n/a	126.11	210.94	65.89	0.81	44927	-0.37	-0.89	0.36	-0.55	129.24	215.68	67.82	2025-06-01T14:03:40Z
marker1.46	22.49	125.29	210.16	66.54	120.56	199.94	79.52	n/a	125.2	211.1	65.62	-0.21	0.53	-0.64	0.24	0.94	0.6	130.74	215.04	66.57	2025-06-01T14:03:45Z
marker1.47	22.58	125.27	209.48	64.9	119.56	199.31	80.46	n/a	126.95	210.3	66.28	0.17	0.61	-0.4	-1.03	0.52	0.18	130.14	214.97	66.88	2025-06-01T14:03:50Z
marker1.48	22.45	124.71	210.38	65.25	119.51	200.05	80.38	n/a	125.17	211.27	65.67	0.79	0.47	-1.0	-1.41	0.52	0.73	129.55	215.32	66.17	2025-06-01T14:03:55Z
marker1.49	45799	124.39	209.67	65.02	119.57	199.81	80.5	n/a	125.71	211.42	65.44	0.76	20821	-1.34	-1.0	0.79	0.5	130.19	214.7	67.04	2025-06-01T14:04:00Z
marker1.50	22.49	125.58	210.13	65.17	119.79	199.76	79.78	n/a	126.2	210.79	66.14	19725	47119	-0.26	0.0	0.3	-0.42	129.5	214.06	66.82	2025-06-01T14:04:05Z
marker1.51	45799	125.84	210.16	64.89	120.41	198.89	80.12	n/a	126.39	210.26	66.57	0.67	0.64	0.22	0.54	0.59	0.72	129.77	214.58	67.42	2025-06-01T14:04:10Z
marker1.52	22.46	125.04	209.76	65.24	120.17	200.52	79.74	n/a	125.87	210.51	65.78	0.69	44927	-0.56	-0.17	43101	0.81	130.94	214.61	66.38	2025-06-01T14:04:15Z
marker1.53	22.41	125.75	210.33	64.97	120.14	199.44	81.22	n/a	126.06	211.05	66.36	0.74	0.96	-0.5	-0.36	16072	46388	130.8	214.74	66.51	2025-06-01T14:04:20Z
marker1.54	22.49	125.03	210.55	64.15	120.76	199.92	79.79	n/a	125.49	210.17	66.41	0.54	0.21	-0.75	-0.77	12055	0.47	129.25	214.88	66.86	2025-06-01T14:04:25Z
marker1.55	22.37	124.97	209.88	65.35	120.92	200.56	79.87	n/a	125.45	212.29	66.03	0.51	0.84	-0.0	-0.67	0.21	0.33	129.98	214.73	66.64	2025-06-01T14:04:30Z
marker1.56	22.51	124.87	210.75	63.67	120.55	200.62	78.96	n/a	125.83	210.81	65.3	0.11	0.29	0.78	-0.13	41640	0.96	129.44	214.74	67.24	2025-06-01T14:04:35Z
marker1.57	22.44	125.36	209.88	64.81	120.36	200.22	79.82	n/a	126.58	210.46	66.31	0.8	0.7	0.06	-1.23	0.96	0.51	129.74	215.52	66.65	2025-06-01T14:04:40Z
marker1.58	22.43	124.22	210.3	64.36	120.88	198.96	80.85	n/a	126.11	210.95	65.73	0.7	0.83	0.45	-0.54	0.58	0.42	129.97	215.15	66.14	2025-06-01T14:04:45Z
marker1.59	22.43	125.37	210.09	64.91	120.01	200.17	79.73	n/a	125.61	211.1	65.51	0.7	-0.0	0.41	-0.36	0.63	45901	130.83	215.51	66.08	2025-06-01T14:04:50Z
marker1.60	22.44	124.69	210.01	65.26	119.64	200.09	79.62	n/a	125.69	210.3	65.54	-0.18	0.36	0.43	-1.07	29952	0.85	130.09	214.57	67.35	2025-06-01T14:04:55Z
