MarkerID	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_x	Timestamp
marker1.23	142.17	216.98	70.92	0.5657	0.7956	-0.0987	-0.5856	0.5356	0.5816	119.5	200.3	75.4	2025-06-01T15:00:00.440000Z
marker1.24	142.4	217.3	70.13	0.5761	0.8011	-0.0934	-0.5841	0.5376	0.5913	118.5	200.7	75.5	2025-06-01T15:00:00.460000Z
marker1.25	142.44	217.29	70.0	0.5751	0.7941	-0.0915	-0.5964	0.5431	0.579	119.7	201.2	75.5	2025-06-01T15:00:00.480000Z
marker1.26	141.89	217.32	70.47	0.5861	0.7998	-0.0988	-0.5872	0.5441	0.5755	119.4	200.7	75.7	2025-06-01T15:00:00.500000Z
marker1.27	142.71	218.01	70.75	0.5802	0.8068	-0.1031	-0.5968	0.5487	0.571	119.8	200.4	76.2	2025-06-01T15:00:00.520000Z
marker1.28	141.8	216.99	70.68	0.5879	0.8062	-0.0937	-0.6001	0.541	0.5708	119.2	201.3	75.1	2025-06-01T15:00:00.540000Z
marker1.29	141.89	217.44	70.31	0.5744	0.7918	-0.0976	-0.5976	0.5449	0.5653	119.6	200.1	74.5	2025-06-01T15:00:00.560000Z
marker1.30	141.94	217.49	70.26	0.5948	0.8086	-0.1016	-0.6002	0.54	0.5698	119.4	201.0	74.8	2025-06-01T15:00:00.580000Z
marker1.31	142.56	218.37	70.05	0.584	0.8069	-0.104	-0.5978	0.5501	0.571	119.1	200.8	75.4	2025-06-01T15:00:00.600000Z
marker1.32	143.03	218.08	71.18	0.5723	0.8087	-0.0982	-0.5781	0.5419	0.5616	119.2	199.7	74.9	2025-06-01T15:00:00.620000Z
marker1.33	141.92	217.68	70.27	0.5988	0.8095	-0.1058	-0.609	0.5549	0.5568	120.4	201.4	75.0	2025-06-01T15:00:00.640000Z
marker1.34	141.44	218.28	70.04	0.5924	0.7841	-0.106	-0.5999	0.5505	0.5655	119.8	200.3	75.1	2025-06-01T15:00:00.660000Z
marker1.35	142.36	217.86	70.46	0.5688	0.7847	-0.0872	-0.5967	0.5425	0.5855	119.6	201.4	75.2	2025-06-01T15:00:00.680000Z
marker1.36	143.33	218.48	69.98	0.5897	0.8065	-0.0863	-0.6096	0.5569	0.5806	118.6	200.2	74.2	2025-06-01T15:00:00.700000Z
marker1.37	142.17	217.96	70.85	0.5807	0.8163	-0.1138	-0.617	0.5494	0.5738	119.5	199.8	75.2	2025-06-01T15:00:00.720000Z
marker1.38	141.65	217.93	70.28	0.5706	0.7949	-0.1106	-0.6006	0.5596	0.5601	119.8	200.5	74.8	2025-06-01T15:00:00.740000Z
marker1.39	142.25	217.08	69.82	0.568	0.8196	-0.0996	-0.607	0.5521	0.5689	119.4	201.1	75.6	2025-06-01T15:00:00.760000Z
marker1.40	142.03	217.31	69.96	0.557	0.7848	-0.0863	-0.5836	0.5475	0.5758	119.7	202.3	75.8	2025-06-01T15:00:00.780000Z
