MarkerID	PeelingDepth	target_x	target_y	target_z	entry_x	entry_y	entry_z	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_z	Timestamp
marker3.30	21.0	138.26	220.75	71.08	138.07	221.13	76.62	137.15	221.42	71.37	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:05:48Z
marker3.31	21.0	138.21	220.63	71.22	138.1	220.94	76.92	137.18	221.03	71.61	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:06:00Z
marker3.32	21.0	137.87	220.86	70.89	138.12	220.63	77.27	137.46	221.36	71.6	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:06:12Z
marker3.33	21.0	138.06	221.05	71.28	137.76	220.68	76.69	136.78	221.07	71.67	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:06:24Z
marker3.34	21.0	137.77	221.1	71.08	137.79	220.59	76.78	137.28	221.23	71.3	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:06:36Z
marker3.35	21.0	137.99	220.87	70.77	138.32	220.85	76.99	136.83	221.39	71.57	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:06:48Z
marker3.36	21.0	137.55	220.86	70.54	137.99	220.51	77.3	137.07	221.57	71.78	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:07:00Z
marker3.37	21.0	137.74	220.34	70.83	138.18	220.82	77.06	137.19	221.1	71.66	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:07:12Z
marker3.38	21.0	138.39	220.69	70.49	137.95	220.71	76.98	136.82	221.42	71.16	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:07:24Z
marker3.39	21.0	138.17	221.12	71.16	137.7	220.86	76.3	137.06	221.39	71.4	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:07:36Z
marker3.40	21.0	138.07	220.83	71.09	138.03	220.85	76.51	136.77	221.3	71.66	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:07:48Z
marker3.41	21.0	138.0	221.1	70.73	137.95	220.85	76.85	137.1	221.29	71.88	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:08:00Z
marker3.42	21.0	137.94	221.02	70.89	138.3	220.52	77.0	136.91	221.45	71.84	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:08:12Z
marker3.43	21.0	137.77	220.54	70.7	138.05	220.42	76.92	136.74	221.17	71.53	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:08:24Z
marker3.44	21.0	138.08	220.67	70.8	137.99	220.75	76.36	136.91	221.42	71.82	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:08:36Z
marker3.45	21.0	138.41	220.93	70.92	137.81	220.82	77.06	137.25	221.22	71.65	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:08:48Z
marker3.46	21.0	138.16	221.17	70.95	137.89	220.66	76.83	136.87	221.57	71.81	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:09:00Z
marker3.47	21.0	138.14	221.04	70.81	138.08	220.72	76.91	137.24	221.39	71.23	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:09:12Z
marker3.48	21.0	137.95	220.66	70.6	137.84	220.99	77.24	136.9	221.6	71.84	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:09:24Z
marker3.49	21.0	137.77	220.79	70.89	138.03	220.48	76.83	137.21	221.65	71.97	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:09:36Z
marker3.50	21.0	137.93	221.17	71.03	137.73	220.95	76.83	137.1	221.38	71.84	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:09:48Z
marker3.51	21.0	138.05	220.74	71.09	138.05	220.72	77.16	136.92	221.27	71.49	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:10:00Z
marker3.52	21.0	137.71	220.69	71.27	137.82	220.8	76.68	136.88	221.7	71.78	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:10:12Z
marker3.53	21.0	137.88	220.8	70.73	137.84	220.62	76.72	137.07	221.52	71.7	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:10:24Z
marker3.54	21.0	137.97	220.53	70.89	137.82	220.98	77.01	137.15	221.33	71.24	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:10:36Z
marker3.55	21.0	138.19	221.05	70.6	138.03	221.04	76.68	137.35	221.33	71.38	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:10:48Z
marker3.56	21.0	138.27	220.86	70.77	138.18	220.41	77.26	136.84	221.46	71.52	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:11:00Z
marker3.57	21.0	138.09	220.98	70.74	138.16	220.74	76.76	136.96	221.2	71.44	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:11:12Z
marker3.58	21.0	138.19	220.77	71.13	138.09	220.59	76.52	136.86	221.45	71.6	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:11:24Z
marker3.59	21.0	137.83	221.0	70.55	137.75	220.83	77.34	137.08	221.2	71.72	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:11:36Z
marker3.60	21.0	138.14	220.99	70.82	137.84	220.82	76.98	137.32	221.82	71.45	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:11:48Z
